County,Precinct,Race,Candidate,Party,Votes,VTD
ALLEN,Carlyle Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,27,000010
ALLEN,Carlyle Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,122,000010
ALLEN,Cottage Grove Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,23,000020
ALLEN,Cottage Grove Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,77,000020
ALLEN,Deer Creek Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,11,000030
ALLEN,Deer Creek Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,37,000030
ALLEN,East Elm,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,43,000040
ALLEN,East Elm,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,147,000040
ALLEN,Geneva Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,8,000050
ALLEN,Geneva Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,45,000050
ALLEN,Humboldt Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,22,00006A
ALLEN,Humboldt Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,91,00006A
ALLEN,Humboldt Township Rural Enclave,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00006B
ALLEN,Humboldt Township Rural Enclave,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00006B
ALLEN,Humboldt Township Split,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00006C
ALLEN,Humboldt Township Split,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00006C
ALLEN,Humboldt Ward 1,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,110,000070
ALLEN,Humboldt Ward 1,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,183,000070
ALLEN,Humboldt Ward 2,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,94,000080
ALLEN,Humboldt Ward 2,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,246,000080
ALLEN,Iola Ward 1,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,109,000090
ALLEN,Iola Ward 1,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,252,000090
ALLEN,Iola Ward 2,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,116,00010A
ALLEN,Iola Ward 2,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,355,00010A
ALLEN,Iola Ward 2 Exclave,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00010B
ALLEN,Iola Ward 2 Exclave,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00010B
ALLEN,Iola Ward 3,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,144,000110
ALLEN,Iola Ward 3,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,237,000110
ALLEN,Iola Ward 4,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,140,000120
ALLEN,Iola Ward 4,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,251,000120
ALLEN,Marmaton Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,73,000140
ALLEN,Marmaton Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,228,000140
ALLEN,North Elsmore,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,9,000150
ALLEN,North Elsmore,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,61,000150
ALLEN,North Iola Part A,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,24,00016A
ALLEN,North Iola Part A,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,91,00016A
ALLEN,North Iola Part A Rural Enclave,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00016B
ALLEN,North Iola Part A Rural Enclave,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00016B
ALLEN,North Iola Part B,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00016C
ALLEN,North Iola Part B,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00016C
ALLEN,Osage Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,20,000170
ALLEN,Osage Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,73,000170
ALLEN,Salem Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,31,000180
ALLEN,Salem Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,81,000180
ALLEN,South Elsmore,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,18,000190
ALLEN,South Elsmore,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,40,000190
ALLEN,South Iola,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,45,00020A
ALLEN,South Iola,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,187,00020A
ALLEN,South Iola Enclave,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00020B
ALLEN,South Iola Enclave,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00020B
ALLEN,West Elm,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,124,000210
ALLEN,West Elm,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,293,000210
ALLEN,Logan Township S12,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,20,120020
ALLEN,Logan Township S12,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,68,120020
ALLEN,Logan Township S15,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,120030
ALLEN,Logan Township S15,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,120030
ANDERSON,Garnett Precinct 1,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,107,00002A
ANDERSON,Garnett Precinct 1,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,293,00002A
ANDERSON,Garnett Precinct 1 Exclave,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,0,00002B
ANDERSON,Garnett Precinct 2,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,78,000030
ANDERSON,Garnett Precinct 2,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,247,000030
ANDERSON,Garnett Precinct 3,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,66,000040
ANDERSON,Garnett Precinct 3,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,200,000040
ANDERSON,Garnett Precinct 4,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,19,000050
ANDERSON,Garnett Precinct 4,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,31,000050
ANDERSON,Indian Creek Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,9,000080
ANDERSON,Indian Creek Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,39,000080
ANDERSON,Lincoln Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,16,000110
ANDERSON,Lincoln Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,73,000110
ANDERSON,Monroe Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,38,00014A
ANDERSON,Monroe Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,101,00014A
ANDERSON,Putnam Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,41,000170
ANDERSON,Putnam Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,83,000170
ANDERSON,Reeder Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,13,000180
ANDERSON,Reeder Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,68,000180
ANDERSON,Washington Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,18,000210
ANDERSON,Washington Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,84,000210
ANDERSON,Welda Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,36,000220
ANDERSON,Welda Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,82,000220
ANDERSON,Lone Elm Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,16,130010
ANDERSON,Lone Elm Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,71,130010
ANDERSON,Ozark Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,38,130020
ANDERSON,Ozark Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,165,130020
ANDERSON,Rich Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,24,130030
ANDERSON,Rich Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,101,130030
ANDERSON,Walker Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,61,130040
ANDERSON,Walker Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,174,130040
ANDERSON,Westphalia Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,28,130050
ANDERSON,Westphalia Township,Commissioner of Insurance,"Schmidt, Vicki  ",Republican,86,130050
ANDERSON,Jackson Township,Commissioner of Insurance,"McLaughlin, Nathaniel  ",Democratic,25,140010
