PRECINCT NAME,DEM Barbara Bollier,LIB Jason Buckley,REP Roger Marshall,Write-in
1 East Rossville,176,33,323,0
2 West Rossville,108,18,289,0
9 East Silver Lake,255,26,374,2
10 West Silver Lake,161,32,242,1
12 Grove,124,13,295,0
14 Kiro,213,25,380,0
15 Messhoss Creek,151,18,254,0
22 Little Muddy Creek,126,17,228,0
24 Sac,238,27,373,1
25 Sherman,203,35,342,0
26 Iroquois,276,28,354,0
28 West Wichita,202,20,264,1
29 Indianola,246,33,324,0
30 Apache,224,24,335,0
31 East Wichita,352,27,498,1
32 Fox,185,48,408,0
33 Elmont,306,32,487,0
34 Kilmer,56,5,114,0
35 Rochester,217,30,297,0
36 East Soldier,270,28,333,0
37 Whitfield,187,26,257,1
38 Sioux,204,19,270,0
39 Pottawatomie,258,22,364,1
40 Stinson Creek,115,4,106,1
41 North Tecumseh,218,26,252,0
42 South Tecumseh,202,29,228,0
43 Pawnee,253,20,376,1
44 Kaw,212,34,308,1
45 Peck & 17 Croco,176,17,156,1
46 East Peck,152,21,184,0
47 Kiowa,384,28,370,1
48 Cheyenne,271,30,255,0
49 Ponca,175,20,168,0
52 Deer Creek,14,2,11,0
53 Pauline,96,20,93,0
54 West Potter,24,3,48,1
55 Central Pauline,33,8,48,0
56 NW Monmouth,274,32,451,0
57 NE Monmouth,257,27,313,1
58 South Monmouth,279,47,455,0
62 Forbes,29,6,37,0
63 Montara,197,34,198,1
64 Cullen,201,50,191,2
65 Wakarusa,193,23,328,1
66 Kingston,57,9,86,1
72 City Of Auburn,204,55,315,0
73 Meadowlark,263,26,460,0
74 Buffalo,164,22,346,0
80 Gaillardia,288,28,367,0
81 Dover,127,19,311,1
82 Willard,137,19,271,0
84 Yucca,64,9,116,0
85 Aldersgate,132,9,75,0
86 Sunflower,349,29,551,1
87 Washburn & 83 Ichabod Washburn,251,30,345,0
89 North Mission,45,5,99,0
90 South Mission,145,12,262,0
91 Central Mission,295,17,328,0
92 Sherwood,195,8,283,0
93 South Sherwood,213,6,271,0
94 Indian Hills,242,19,276,0
95 York,227,21,312,0
96 Vaquero,148,17,213,0
97 York Outer,33,2,36,0
99 Verbena & 88 Lykins,26,3,55,0
Ward 1 Precinct 1,121,24,77,0
Ward 1 Precinct 2,154,26,114,0
Ward 1 Precinct 3,121,16,137,1
Ward 1 Precinct 4,172,26,161,0
Ward 1 Precinct 5,222,40,286,1
W01 P06 & W01 P07,290,60,328,1
Ward 2 Precinct 1,183,31,159,1
Ward 2 Precinct 2,160,24,115,1
Ward 2 Precinct 3,148,17,114,1
Ward 2 Precinct 4,153,23,98,0
Ward 2 Precinct 5,147,17,78,0
Ward 2 Precinct 6,154,27,68,1
Ward 2 Precinct 7,118,18,34,1
Ward 2 Precinct 8,158,20,19,1
Ward 2 Precinct 9,219,31,108,0
Ward 2 Precinct 10,277,29,66,0
Ward 2 Precinct 11,176,15,75,0
Ward 2 Precinct 12,0,0,0,0
Ward 3 Precinct 1,202,27,111,0
Ward 3 Precinct 2,206,16,96,0
Ward 3 Precinct 3,164,21,54,1
Ward 3 Precinct 4,184,26,80,0
Ward 3 Precinct 5,136,9,48,1
Ward 3 Precinct 6,146,11,55,0
Ward 3 Precinct 7,156,23,95,1
Ward 3 Precinct 8,182,10,80,0
Ward 3 Precinct 9,240,27,77,0
Ward 3 Precinct 10,24,5,4,0
Ward 4 Precinct 1,172,29,71,1
Ward 4 Precinct 2,248,25,62,2
Ward 4 Precinct 3,168,13,34,0
Ward 4 Precinct 4,267,35,45,2
Ward 4 Precinct 6,222,18,65,1
Ward 4 Precinct 7,160,20,42,1
Ward 4 Precinct 8,187,17,77,0
Ward 4 Precinct 9,225,18,65,0
Ward 4 Precinct 10,247,19,94,1
Ward 4 Precinct 11,53,8,39,1
Ward 4 Precinct 14,19,2,1,0
Ward 4 Precinct 15,104,14,76,1
Ward 5 Precinct 1,203,20,54,0
Ward 5 Precinct 2,165,27,74,1
Ward 5 Precinct 3,202,28,86,0
Ward 5 Precinct 4,193,19,103,0
Ward 5 Precinct 5,235,30,82,0
Ward 5 Precinct 6,185,18,63,0
Ward 5 Precinct 7,203,17,71,1
Ward 5 Precinct 8,173,13,74,0
Ward 5 Precinct 9,277,35,213,0
Ward 5 Precinct 10,315,37,220,2
Ward 5 Precinct 11,287,21,213,0
Ward 5 Precinct 14,130,17,176,0
