,BALDWIN AND,,JOHNSON AND,,OBAMA AND BIDEN (D),,ROMNEY AND RYAN,
,MARTIN (F),,GRAY (L),,,,(R),
,,,,,,,,
Jurisdiction Wide,,,,,,,,
Aubry Twp 0-01,0,0.00%,4,3.08%,40,30.77%,84,64.62%
Aubry Twp 0-02,1,0.13%,15,1.93%,184,23.62%,579,74.33%
Aubry Twp 0-03,2,0.44%,8,1.77%,132,29.14%,309,68.21%
Aubry Twp 0-04,1,0.10%,14,1.38%,287,28.30%,708,69.82%
Aubry Twp 0-05,0,0.00%,0,0.00%,6,35.29%,11,64.71%
Aubry Twp 0-06,0,0.00%,2,1.90%,16,15.24%,87,82.86%
Bonner Springs 4-01,0,-,0,-,0,-,0,-
De Soto 0-01,4,0.43%,21,2.27%,336,36.25%,563,60.73%
De Soto 0-02,1,0.19%,11,2.06%,205,38.39%,316,59.18%
De Soto 0-03,1,0.12%,16,1.93%,277,33.45%,532,64.25%
De Soto 0-04,0,-,0,-,0,-,0,-
De Soto 0-05,0,-,0,-,0,-,0,-
De Soto 0-06,0,0.00%,1,1.33%,39,52.00%,35,46.67%
De Soto 0-07,0,0.00%,0,0.00%,0,0.00%,2,100.00%
De Soto 0-08,0,-,0,-,0,-,0,-
Edgerton 0-01,2,0.30%,20,2.97%,227,33.68%,421,62.46%
Edgerton 0-02,0,-,0,-,0,-,0,-
Edgerton 0-03,0,-,0,-,0,-,0,-
Edgerton 0-04,0,-,0,-,0,-,0,-
Edgerton 0-05,0,-,0,-,0,-,0,-
Edgerton 0-06,0,-,0,-,0,-,0,-
Edgerton 0-07,0,-,0,-,0,-,0,-
Edgerton 0-08,0,-,0,-,0,-,0,-
Fairway 1-00,1,0.16%,8,1.27%,277,44.11%,341,54.30%
Fairway 2-00,0,0.00%,8,1.44%,268,48.38%,276,49.82%
Fairway 3-00,0,0.00%,6,0.83%,323,44.86%,390,54.17%
Fairway 4-00,2,0.33%,14,2.28%,370,60.36%,224,36.54%
Gardner 0-01,2,0.16%,23,1.85%,409,32.93%,796,64.09%
Gardner 0-02,0,0.00%,16,8.29%,84,43.52%,90,46.63%
Gardner 0-03,0,0.00%,28,3.01%,350,37.63%,550,59.14%
Gardner 0-04,1,0.14%,19,2.74%,245,35.35%,423,61.04%
Gardner 0-05,0,-,0,-,0,-,0,-
Gardner 0-06,4,0.42%,30,3.13%,311,32.43%,608,63.40%
Gardner 0-07,0,0.00%,0,0.00%,13,50.00%,13,50.00%
