"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Mayor Fontana (Vote For 1)","Paula Hambleton","",11,91.67,131,14,1,1,"0","0"
2,"Mayor Fontana (Vote For 1)","Write-in","",1,8.33,131,14,1,1,"0","0"
3,"Mayor Osawatomie (Vote For 1)","Nick Hampson","",374,92.35,2437,430,4,4,"0","0"
4,"Mayor Osawatomie (Vote For 1)","Write-in","",31,7.65,2437,430,4,4,"0","0"
5,"Mayor Paola (Vote For 1)","Leigh House","",997,97.36,4139,1116,4,4,"0","0"
6,"Mayor Paola (Vote For 1)","Write-in","",27,2.64,4139,1116,4,4,"0","0"
7,"City Council Fontana (Vote For 2)","Kerry S Myles","",14,66.67,131,14,1,1,"0","0"
8,"City Council Fontana (Vote For 2)","Write-in","",7,33.33,131,14,1,1,"0","0"
9,"City Council Louisburg Precinct 4 (Vote For 1)","Kalee Smith-Stone","",149,89.22,877,186,1,1,"0","0"
10,"City Council Louisburg Precinct 4 (Vote For 1)","Write-in","",18,10.78,877,186,1,1,"0","0"
11,"City Council Louisburg Precinct At-Large (Vote For 1)","Steve Town","",584,95.27,3566,658,4,4,"0","0"
12,"City Council Louisburg Precinct At-Large (Vote For 1)","Write-in","",29,4.73,3566,658,4,4,"0","0"
13,"City Council Osawatomie Precinct 1 (Vote For 1)","Lawrence Dickinson","",42,60.00,519,70,1,1,"0","0"
14,"City Council Osawatomie Precinct 1 (Vote For 1)","Shay Hanysak","",27,38.57,519,70,1,1,"0","0"
15,"City Council Osawatomie Precinct 1 (Vote For 1)","Write-in","",1,1.43,519,70,1,1,"0","0"
16,"City Council Osawatomie Precinct 2 (Vote For 1)","Dan Macek","",125,93.28,653,154,1,1,"0","0"
17,"City Council Osawatomie Precinct 2 (Vote For 1)","Write-in","",9,6.72,653,154,1,1,"0","0"
18,"City Council Osawatomie Precinct 3 (Vote For 1)","Derek Henness","",124,96.88,687,132,1,1,"0","0"
19,"City Council Osawatomie Precinct 3 (Vote For 1)","Write-in","",4,3.13,687,132,1,1,"0","0"
20,"City Council Osawatomie Precinct 4 (Vote For 1)","Cathy Caldwell","",65,94.20,578,74,1,1,"0","0"
21,"City Council Osawatomie Precinct 4 (Vote For 1)","Write-in","",4,5.80,578,74,1,1,"0","0"
22,"City Council Paola Precinct 1 (Vote For 1)","J.R. McMahon","",193,61.27,995,330,1,1,"0","0"
23,"City Council Paola Precinct 1 (Vote For 1)","Trent Upshaw","",120,38.10,995,330,1,1,"0","0"
24,"City Council Paola Precinct 1 (Vote For 1)","Write-in","",2,0.63,995,330,1,1,"0","0"
25,"City Council Paola Precinct 3 (Vote For 1)","Kathy Peckman","",211,99.06,918,241,1,1,"0","0"
26,"City Council Paola Precinct 3 (Vote For 1)","Write-in","",2,0.94,918,241,1,1,"0","0"
27,"City Council Spring Hill At-Large (Vote For 3)","Doug D'Albini","",68,12.32,2233,231,2,2,"0","0"
28,"City Council Spring Hill At-Large (Vote For 3)","Kristin Feeback","",139,25.18,2233,231,2,2,"0","0"
29,"City Council Spring Hill At-Large (Vote For 3)","Chris W Leaton","",98,17.75,2233,231,2,2,"0","0"
30,"City Council Spring Hill At-Large (Vote For 3)","Chip VanHouden","",86,15.58,2233,231,2,2,"0","0"
31,"City Council Spring Hill At-Large (Vote For 3)","Chad Young","",147,26.63,2233,231,2,2,"0","0"
32,"City Council Spring Hill At-Large (Vote For 3)","Write-in","",14,2.54,2233,231,2,2,"0","0"
33,"Member Position 1 USD 229 (Vote For 1)","Jan Kessinger","",1,20.00,42,5,1,1,"0","0"
34,"Member Position 1 USD 229 (Vote For 1)","Christine Vasquez","",4,80.00,42,5,1,1,"0","0"
