Precinct,,State Senator 6th District,,,,,,State Senator 10th District,,,,,State Representative 31st District,,,,,,,
,,Dem Pat Pettey,,Rep Diana Whittington,,Write-in Totals,,Dem Lindsey Constance,,Rep Mike Thompson,Write-in Totals,,Rep Landon Griffith,Dem Louis E. Ruiz,Write-in Totals,,,,,
ED 2-1,,113,,144,,1,,,,,,,,,,,,,,
KC 4-4,,412,,118,,1,,,,,,,,,,,,,,
KC 5-2,,139,,46,,1,,,,,,,,,,,,,,
KC 5-3,,150,,35,,1,,,,,,,,,,,,,,
KC 5-4,,150,,54,,0,,,,,,,,,,,,,,
KC 5-5,,198,,65,,0,,,,,,,,,,,,,,
KC 6-1,,209,,95,,4,,,,,,,,,,,,,,
KC 6-2,,65,,37,,0,,,,,,,,,,,,,,
KC 7-1,,191,,124,,1,,,,,,,115,198,1,,,,,
KC 7-2,,220,,67,,5,,,,,,,63,227,4,,,,,
KC 7-3,,269,,79,,3,,,,,,,80,268,1,,,,,
KC 7-4,,325,,258,,2,,,,,,,,,,,,,,
KC 7-5,,76,,34,,0,,,,,,,30,79,0,,,,,
KC 7-6,,505,,193,,0,,,,,,,178,513,5,,,,,
KC 7-7,,174,,52,,1,,,,,,,54,171,1,,,,,
KC 7-8,,624,,261,,3,,,,,,,,,,,,,,
KC 7-9,,394,,300,,3,,,,,,,,,,,,,,
KC 8-1,,450,,126,,0,,,,,,,109,466,1,,,,,
KC 8-2,,529,,108,,1,,,,,,,112,515,2,,,,,
KC 8-3,,637,,184,,5,,,,,,,191,634,4,,,,,
KC 8-4,,452,,167,,2,,,,,,,150,468,1,,,,,
KC 9-2,,286,,137,,0,,,,,,,,,,,,,,
KC 9-5,,9,,19,,0,,,,,,,,,,,,,,
KC 9-7,,278,,226,,3,,,,,,,,,,,,,,
KC 9-9,,125,,97,,0,,,,,,,,,,,,,,
KC 9-10,,452,,235,,1,,,,,,,,,,,,,,
KC 9-11,,534,,189,,3,,,,,,,,,,,,,,
KC 9-12,,344,,285,,0,,,,,,,,,,,,,,
KC 9-13,,207,,223,,0,,,,,,,,,,,,,,
KC 9-14,,268,,285,,2,,,,,,,,,,,,,,
KC 11-12,,109,,61,,0,,,,,,,,,,,,,,
Precinct,,State Senator 6th District,,,,,,State Senator 10th District,,,,,State Representative 31st District,,,,,,,
,,Dem Pat Pettey,,Rep Diana Whittington,,Write-in Totals,,Dem Lindsey Constance,,Rep Mike Thompson,Write-in Totals,,Rep Landon Griffith,Dem Louis E. Ruiz,Write-in Totals,,,,,
KC 12-1,,416,,191,,0,,,,,,,185,426,0,,,,,
KC 12-2,,208,,84,,1,,,,,,,75,218,0,,,,,
KC 12-3,,399,,183,,1,,,,,,,186,392,0,,,,,
KC 12-4,,380,,242,,1,,,,,,,257,354,5,,,,,
KC 12-5,,302,,277,,1,,,,,,,285,282,6,,,,,
KC 12-6,,334,,246,,1,,,,,,,,,,,,,,
KC 12-7,,313,,195,,1,,,,,,,,,,,,,,
KC 12-8,,358,,242,,2,,,,,,,,,,,,,,
KC 12-9,,358,,212,,2,,,,,,,,,,,,,,
KC 12-10,,172,,231,,1,,,,,,,,,,,,,,
KC 12-11,,79,,134,,0,,,,,,,,,,,,,,
KC 14-16,,228,,140,,0,,,,,,,,,,,,,,
QC 1-1,,,,,,,,10,,15,0,,,,,,,,,
Totals,,"12,441",,"6,681",,54,,10,,15,0,,"2,070","5,211",31,,,,,
Precinct,,State Representative 32nd District,,,,,,State Representative 33rd District,,,,,,State Representative 34th District,,,,,,
,,Rep Greg Conchola,,Dem Pam Curtis,,Write-in Totals,,Dem Tom Burroughs,,Rep Jordan Michael Mackey,Lib Rick Parsons,,Write-in Totals,Dem Valdenia C. Winn,Write-in Totals,,,,,
BS 1-1,,,,,,,,327,,394,103,,1,,,,,,,
BS 2-1,,,,,,,,238,,313,85,,0,,,,,,,
BS 3-1,,,,,,,,357,,397,127,,2,,,,,,,
BS 4-1,,,,,,,,521,,516,155,,1,,,,,,,
DE 1-1,,,,,,,,5,,16,4,,0,,,,,,,
ED 1-1,,,,,,,,636,,779,151,,2,,,,,,,
ED 2-1,,,,,,,,105,,130,22,,1,,,,,,,
KC 1-2,,,,,,,,,,,,,,136,1,,,,,
KC 1-3,,25,,118,,0,,,,,,,,,,,,,,
KC 2-3,,,,,,,,,,,,,,35,0,,,,,
KC 2-4,,,,,,,,,,,,,,181,0,,,,,
KC 2-5,,,,,,,,,,,,,,301,6,,,,,
KC 3-4,,,,,,,,,,,,,,309,5,,,,,
KC 4-1,,93,,319,,0,,,,,,,,,,,,,,
KC 4-2,,33,,113,,0,,,,,,,,,,,,,,
KC 4-3,,68,,234,,2,,,,,,,,,,,,,,
KC 4-4,,124,,412,,1,,,,,,,,,,,,,,
KC 5-1,,95,,387,,2,,,,,,,,,,,,,,
KC 5-2,,46,,139,,1,,,,,,,,,,,,,,
