Precinct,,US REP 3rd District,,,,,,,,State Senator 4th District,,,,State Senator 5th District,,,,,,
,,Rep Amanda L. Adkins,,Dem Sharice L. Davids,,Lib Steven A. Hohe,,Write-in Totals,,Dem David Haley,Rep Sam Stillwell,,Write-in Totals,Rep Kevin Braun,Dem Jeff Pittman,Write-in Totals,,,,
BS 1-1,,397,,385,,47,,1,,,,,,444,375,2,,,,
BS 2-1,,306,,302,,35,,1,,,,,,350,287,0,,,,
BS 3-1,,428,,433,,36,,2,,,,,,464,422,1,,,,
BS 4-1,,559,,590,,50,,3,,,,,,594,601,3,,,,
DE 1-1,,16,,9,,1,,0,,,,,,16,10,0,,,,
ED 1-1,,765,,732,,81,,0,,,,,,876,689,6,,,,
ED 2-1,,134,,109,,16,,1,,,,,,,,,,,,
KC 1-1,,14,,114,,1,,0,,124,12,,0,,,,,,,
KC 1-2,,12,,138,,2,,1,,141,14,,0,,,,,,,
KC 1-3,,18,,122,,4,,0,,115,27,,0,,,,,,,
KC 2-1,,47,,202,,12,,0,,203,54,,0,,,,,,,
KC 2-2,,12,,157,,3,,0,,160,13,,0,,,,,,,
KC 2-3,,5,,36,,1,,0,,37,5,,0,,,,,,,
KC 2-4,,12,,184,,1,,0,,180,12,,1,,,,,,,
KC 2-5,,35,,300,,6,,0,,306,27,,1,,,,,,,
KC 3-1,,26,,433,,11,,0,,441,30,,0,,,,,,,
KC 3-2,,16,,437,,6,,1,,435,23,,2,,,,,,,
KC 3-3,,6,,77,,2,,0,,77,8,,1,,,,,,,
KC 3-4,,15,,313,,11,,0,,318,20,,0,,,,,,,
KC 4-1,,88,,326,,12,,0,,316,94,,1,,,,,,,
KC 4-2,,28,,121,,4,,0,,119,30,,0,,,,,,,
KC 4-3,,63,,239,,6,,2,,226,78,,1,,,,,,,
KC 4-4,,132,,397,,16,,1,,,,,,,,,,,,
KC 5-1,,82,,399,,14,,1,,395,85,,3,,,,,,,
KC 5-2,,40,,143,,10,,2,,,,,,,,,,,,
KC 5-3,,30,,155,,6,,1,,,,,,,,,,,,
KC 5-4,,46,,158,,7,,1,,,,,,,,,,,,
KC 5-5,,53,,198,,17,,0,,,,,,,,,,,,
KC 6-1,,84,,220,,9,,2,,,,,,,,,,,,
KC 6-2,,34,,66,,4,,0,,,,,,,,,,,,
KC 7-1,,111,,193,,12,,1,,,,,,,,,,,,
KC 7-2,,55,,230,,9,,2,,,,,,,,,,,,
Precinct,,US REP 3rd District,,,,,,,,State Senator 4th District,,,,State Senator 5th District,,,,,,
