Offical Election Results
Anderson County
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Allen County","USD #479 Board of Education Position 1","Jamie L. Henderson","0","0.00%"
"Allen County","USD #479 Board of Education Position 1","L. Jason Beckmon","0","0.00%"
"Allen County","USD #479 Board of Education Position 1","WRITE IN","0","0.00%"
"Allen County","USD #479 Board of Education Position 2","Kevin Nilges","0","0.00%"
"Allen County","USD #479 Board of Education Position 2","WRITE IN","0","0.00%"
"Allen County","USD #479 Board of Education Position 3","Laura Schmidt","0","0.00%"
"Allen County","USD #479 Board of Education Position 3","WRITE IN","0","0.00%"
"Allen County","USD #479 Board of Education Position 7","Nathan Beckmon","0","0.00%"
"Allen County","USD #479 Board of Education Position 7","WRITE IN","0","0.00%"
"Allen County","USD #479 Bond Election Question","Yes","0","0.00%"
"Allen County","USD #479 Bond Election Question","No","0","0.00%"
"Coffey County","USD #365 Board of Education Position 1","Roger Shilling","0","0.00%"
"Coffey County","USD #365 Board of Education Position 1","WRITE IN","0","0.00%"
"Coffey County","USD #365 Board of Education Position 2","Matthew Self","0","0.00%"
"Coffey County","USD #365 Board of Education Position 2","WRITE IN","0","0.00%"
"Coffey County","USD #365 Board of Education Position 3","Brian Schafer","0","0.00%"
"Coffey County","USD #365 Board of Education Position 3","WRITE IN","0","0.00%"
"Coffey County","USD #365 Board of Education Position 7","Justin Kohlmeier","0","0.00%"
"Coffey County","USD #365 Board of Education Position 7","Adam Caylor","0","0.00%"
"Coffey County","USD #365 Board of Education Position 7","WRITE IN","0","0.00%"
"Colony City","Extension District Board of Directors","Michelle Cunningham","53","43.60%"
"Colony City","Extension District Board of Directors","Elaine Holloway","108","43.60%"
"Colony City","Extension District Board of Directors","WRITE IN","1","43.60%"
"Colony City","USD #479 Board of Education Position 1","Jamie L. Henderson","80","43.60%"
"Colony City","USD #479 Board of Education Position 1","L. Jason Beckmon","43","43.60%"
"Colony City","USD #479 Board of Education Position 1","WRITE IN","0","43.60%"
"Colony City","USD #479 Board of Education Position 2","Kevin Nilges","110","43.60%"
"Colony City","USD #479 Board of Education Position 2","WRITE IN","3","43.60%"
"Colony City","USD #479 Board of Education Position 3","Laura Schmidt","107","43.60%"
"Colony City","USD #479 Board of Education Position 3","WRITE IN","2","43.60%"
"Colony City","USD #479 Board of Education Position 7","Nathan Beckmon","110","43.60%"
